City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Tual,ID,2021-11-06 13:49:48,-5.6667,132.75,83.84,73,99,4.88
147,Elko,US,2021-11-06 13:49:45,41.0002,-115.5012,39.63,65,24,5.99
148,Coolum Beach,AU,2021-11-06 13:49:49,-26.5333,153.1,67.33,87,86,4.38
149,Panaba,MX,2021-11-06 13:49:49,21.2833,-88.2667,77.79,64,6,11.18
150,Sao Filipe,CV,2021-11-06 13:49:49,14.8961,-24.4956,80.87,67,25,7.07
151,Port Blair,IN,2021-11-06 13:49:50,11.6667,92.75,81.9,79,100,8.28
152,Hillsborough,US,2021-11-06 13:49:50,37.5741,-122.3794,56.43,94,90,6.91
153,Mayo,US,2021-11-06 13:49:51,38.8876,-76.5119,49.98,77,1,4.0
154,Tilichiki,RU,2021-11-06 13:49:51,60.4667,166.1,17.64,97,96,0.94
155,Adrar,MR,2021-11-06 13:49:51,20.5022,-10.0711,86.43,20,27,5.64
156,Bengkulu,ID,2021-11-06 13:49:52,-3.8004,102.2655,76.68,92,100,6.93
157,Sidi Ali,DZ,2021-11-06 13:49:52,36.0998,0.4206,55.71,72,100,29.44
158,Port Macquarie,AU,2021-11-06 13:49:52,-31.4333,152.9167,64.36,87,100,11.88
159,Aksarka,RU,2021-11-06 13:49:53,66.5606,67.7975,33.48,98,100,16.91
160,Yuxia,CN,2021-11-06 13:49:53,34.0615,108.6291,38.01,93,100,8.19
161,Lorengau,PG,2021-11-06 13:49:53,-2.0226,147.2712,82.15,79,57,9.51
162,San Patricio,US,2021-11-06 13:49:54,28.017,-97.5169,62.83,63,0,6.71
163,Ucluelet,CA,2021-11-06 13:48:29,48.9329,-125.5528,43.09,92,100,5.03
164,Makakilo City,US,2021-11-06 13:49:09,21.3469,-158.0858,75.56,71,20,3.44
165,Luderitz,NA,2021-11-06 13:49:54,-26.6481,15.1594,69.22,56,100,30.47
166,Castro,BR,2021-11-06 13:49:55,-24.7911,-50.0119,76.71,69,46,1.59
167,Saskylakh,RU,2021-11-06 13:49:55,71.9167,114.0833,8.92,89,100,18.03
168,Werda,BW,2021-11-06 13:49:56,-25.2667,23.2833,98.37,8,21,15.64
169,Gambela,ET,2021-11-06 13:49:56,8.25,34.5833,92.43,39,10,2.19
170,Fortuna Foothills,US,2021-11-06 13:49:49,32.6578,-114.4119,60.89,49,1,0.0
171,Xinan,CN,2021-11-06 13:49:57,26.72,119.8556,68.97,95,46,6.31
172,Qui Nhon,VN,2021-11-06 13:45:53,13.7667,109.2333,77.41,83,60,3.44
173,Caarapo,BR,2021-11-06 13:49:57,-22.6342,-54.8222,80.8,65,100,3.85
174,Faanui,PF,2021-11-06 13:49:58,-16.4833,-151.75,79.16,71,13,5.37
175,Victoria,HK,2021-11-06 13:45:03,22.2855,114.1577,80.65,82,26,3.0
176,Ergani,TR,2021-11-06 13:49:58,38.2653,39.7621,70.52,33,0,5.12
177,Moerai,PF,2021-11-06 13:49:59,-22.4333,-151.3333,71.49,69,10,10.94
178,Novosergiyevka,RU,2021-11-06 13:49:59,52.0934,53.6528,35.94,31,100,16.37
179,Bandarbeyla,SO,2021-11-06 13:49:59,9.4942,50.8122,78.71,65,23,14.25
180,Tuktoyaktuk,CA,2021-11-06 13:50:00,69.4541,-133.0374,19.4,93,90,19.57
181,Morant Bay,JM,2021-11-06 13:50:00,17.8815,-76.4093,85.62,80,100,9.08
182,Constitucion,CL,2021-11-06 13:50:01,-35.3333,-72.4167,57.63,65,58,7.31
183,Hailun,CN,2021-11-06 13:50:02,47.45,126.9333,20.82,41,100,5.86
184,Henderson,US,2021-11-06 13:45:18,36.0397,-114.9819,62.24,41,1,0.0
185,Alofi,NU,2021-11-06 13:50:03,-19.0595,-169.9187,73.29,88,57,6.91
186,Cozumel,MX,2021-11-06 13:50:02,20.5083,-86.9458,77.95,79,2,7.0
187,Rahden,DE,2021-11-06 13:51:03,52.4333,8.6167,50.25,80,100,16.84
188,Manali,IN,2021-11-06 13:51:04,13.1667,80.2667,78.89,87,81,10.78
189,Longyearbyen,SJ,2021-11-06 13:48:20,78.2186,15.6401,22.84,68,75,16.11
190,Manzil Salim,TN,2021-11-06 13:51:04,35.8567,8.4765,66.2,48,56,11.01
191,Grand Gaube,MU,2021-11-06 13:51:05,-20.0064,57.6608,80.38,70,18,7.0
192,Tomari,RU,2021-11-06 13:51:05,47.7658,142.0683,43.16,80,100,24.36
193,Paamiut,GL,2021-11-06 13:51:05,61.994,-49.6678,29.84,90,100,11.74
194,Alcaniz,ES,2021-11-06 13:51:06,41.05,-0.1333,58.42,42,0,25.52
195,Provideniya,RU,2021-11-06 13:51:06,64.3833,-173.3,6.44,81,3,7.4
196,San Jeronimo,PE,2021-11-06 13:51:07,-11.9472,-75.2829,56.25,62,75,2.33
197,Kavieng,PG,2021-11-06 13:51:07,-2.5744,150.7967,83.71,72,72,15.82
198,Yellowknife,CA,2021-11-06 13:51:08,62.456,-114.3525,29.41,99,90,8.05
199,Atar,MR,2021-11-06 13:51:08,20.5169,-13.0499,89.92,18,0,5.44
200,Sangar,RU,2021-11-06 13:51:09,63.9242,127.4739,2.41,95,100,5.37
201,Salinopolis,BR,2021-11-06 13:51:09,-0.6136,-47.3561,85.33,68,85,9.84
202,Fuerte Olimpo,PY,2021-11-06 13:51:09,-21.0415,-57.8738,61.39,92,100,7.18
203,Husavik,IS,2021-11-06 13:51:10,66.0449,-17.3389,33.71,96,100,17.81
204,Guanajuato,MX,2021-11-06 13:47:35,21.0186,-101.2591,54.72,68,3,4.83
205,Wagar,SD,2021-11-06 13:51:11,16.1525,36.2032,96.93,19,2,7.16
206,Coquimbo,CL,2021-11-06 13:51:11,-29.9533,-71.3436,56.93,76,75,3.44
207,Upernavik,GL,2021-11-06 13:51:11,72.7868,-56.1549,11.19,76,1,6.53
208,Ahuimanu,US,2021-11-06 13:51:12,21.4447,-157.8378,76.75,73,75,9.22
209,Nantucket,US,2021-11-06 13:48:39,41.2835,-70.0995,50.11,56,1,0.0
210,Ryotsu,JP,2021-11-06 13:51:12,38.0833,138.4333,57.4,67,47,8.1
211,Dikson,RU,2021-11-06 13:48:32,73.5069,80.5464,16.79,93,100,17.9
212,Hashtrud,IR,2021-11-06 13:51:13,37.4779,47.0508,46.9,36,0,5.14
213,Ponta Do Sol,PT,2021-11-06 13:51:13,32.6667,-17.1,74.12,48,8,6.78
214,Farafangana,MG,2021-11-06 13:51:14,-22.8167,47.8333,74.79,64,12,7.49
215,Sharan,RU,2021-11-06 13:51:14,54.8167,54.0,39.22,35,100,25.39
216,Nazarovo,RU,2021-11-06 13:51:14,56.0064,90.3914,23.18,95,100,12.21
217,Taoudenni,ML,2021-11-06 13:51:15,22.6783,-3.9836,89.67,13,0,10.04
218,Karpogory,RU,2021-11-06 13:51:15,64.0019,44.4451,39.06,80,100,8.99
219,Krasnyy Oktyabr,RU,2021-11-06 13:51:16,56.1167,38.8833,44.11,77,92,11.41
220,Soria,ES,2021-11-06 13:51:16,41.6667,-2.6667,44.85,45,0,11.23
221,Alihe,CN,2021-11-06 13:51:17,50.5667,123.7167,19.35,38,3,7.31
222,Port Hedland,AU,2021-11-06 13:51:17,-20.3167,118.5667,78.85,78,2,9.22
223,Laguna,US,2021-11-06 13:51:17,38.421,-121.4238,57.7,93,75,0.0
224,Norman Wells,CA,2021-11-06 13:51:18,65.282,-126.8329,19.44,86,75,0.0
225,Gat,IL,2021-11-06 13:51:18,31.61,34.7642,85.41,35,7,12.03
226,Zhanaozen,KZ,2021-11-06 13:51:18,43.3,52.8,41.58,26,0,11.25
227,Moron,AR,2021-11-06 13:51:19,-34.6534,-58.6198,67.8,54,70,7.0
228,Ribeira Grande,PT,2021-11-06 13:51:19,38.5167,-28.7,73.8,83,75,18.41
229,Tautira,PF,2021-11-06 13:51:20,-17.7333,-149.15,77.02,77,100,6.53
230,Lagoa,PT,2021-11-06 13:52:20,39.05,-27.9833,68.45,85,100,26.91
231,Kamenka,RU,2021-11-06 13:52:21,51.3223,42.7678,50.14,65,100,17.02
232,Xiaoweizhai,CN,2021-11-06 13:52:21,26.1903,107.5125,62.85,98,97,3.4
233,Krasnoselkup,RU,2021-11-06 13:52:21,65.7,82.4667,22.8,96,100,18.95
