City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Mount Gambier,AU,-37.8333,140.7667,60.71,51,90,8.05,overcast clouds
263,Bonavista,CA,48.6499,-53.1147,44.11,78,16,20.92,few clouds
264,Fukue,JP,32.6881,128.8419,70.16,60,0,9.22,clear sky
265,San Diego De La Union,MX,21.4667,-100.8667,56.08,73,3,6.17,clear sky
266,La Roda,ES,39.2167,-2.15,37.9,66,0,9.06,clear sky
267,Mushie,CD,-3.0167,16.9,71.1,96,100,2.1,overcast clouds
268,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,71,75,11.01,broken clouds
269,Kabompo,ZM,-13.5927,24.2008,63.39,40,21,2.21,few clouds
270,Gamba,GA,-2.65,10.0,76.05,89,100,1.48,overcast clouds
271,Chipinge,ZW,-20.1883,32.6236,67.1,39,1,3.15,clear sky
272,Katsuura,JP,35.1333,140.3,66.18,75,100,8.43,moderate rain
273,Yeppoon,AU,-23.1333,150.7333,85.78,61,79,15.77,broken clouds
274,Shieli,KZ,44.1667,66.75,33.62,24,0,11.01,clear sky
275,Cairns,AU,-16.9167,145.7667,94.95,60,9,10.36,clear sky
276,Mapiri,BO,-15.25,-68.1667,66.69,98,100,1.43,overcast clouds
277,Elat,IL,29.5581,34.9482,69.64,52,0,9.22,clear sky
278,Vanimo,PG,-2.6741,141.3028,87.15,59,58,7.18,broken clouds
279,Guaramirim,BR,-26.4731,-49.0028,71.08,97,100,1.95,overcast clouds
280,Okhotsk,RU,59.3833,143.3,11.95,80,100,31.07,light snow
281,Bengkulu,ID,-3.8004,102.2655,72.95,90,100,10.25,overcast clouds
282,Nyurba,RU,63.2842,118.3319,10.69,93,100,7.67,overcast clouds
283,Camana,PE,-16.6228,-72.7111,64.51,87,76,8.08,broken clouds
284,Asau,RO,46.4333,26.4,46.76,70,100,3.4,light rain
285,Tigil,RU,57.8,158.6667,21.69,86,10,4.36,clear sky
286,Steamboat Springs,US,40.485,-106.8317,51.3,50,1,4.61,clear sky
287,Valdivia,CL,-39.8142,-73.2459,50.09,97,13,1.68,few clouds
288,Nan,TH,18.8333,100.6667,77.02,89,40,0.0,scattered clouds
289,Manjeshwar,IN,12.7194,74.8861,77.95,82,61,3.8,broken clouds
290,Tibati,CM,6.4667,12.6333,67.32,89,82,2.21,broken clouds
291,Anadyr,RU,64.75,177.4833,7.3,85,90,6.71,light snow
292,Onalaska,US,43.8844,-91.2351,57.04,76,1,9.22,clear sky
293,Tiznit,MA,29.5833,-9.5,54.48,56,0,2.42,clear sky
294,Margate,GB,51.3813,1.3862,53.96,83,100,5.01,overcast clouds
295,Tamandare,BR,-8.7597,-35.1047,77.58,89,44,9.37,scattered clouds
296,Erzin,TR,36.9559,36.2,52.32,35,1,3.65,clear sky
297,Asfi,MA,32.2994,-9.2372,55.38,61,0,14.2,clear sky
298,Sjovegan,NO,68.8726,17.8474,35.83,88,100,6.51,overcast clouds
